Date,Active,Reactive,HouseIndex,Temperature,Humidity,Pressure,Rainfall,Snowfall,Cloud,Wind,Discomfort
2016-09-01 20:00,170.9444596,191.4370273,16,25.8,0.58,992.9,0,0,0,3.3,73.71836
2016-09-01 20:00,920.6259367,142.1733024,18,25.8,0.58,992.9,0,0,0,3.3,73.71836
2016-09-01 20:00,133.1106728,101.6609336,19,25.8,0.58,992.9,0,0,0,3.3,73.71836
2016-09-01 21:00,438.5525847,71.63772705,4,25.2,0.61,993.9,0,0,1,1.5,73.20728
2016-09-01 21:00,506.6537234,53.22244913,6,25.2,0.61,993.9,0,0,1,1.5,73.20728
2016-09-01 21:00,169.0765522,193.1494642,16,25.2,0.61,993.9,0,0,1,1.5,73.20728
2016-09-01 21:00,907.2694431,130.4215592,18,25.2,0.61,993.9,0,0,1,1.5,73.20728
2016-09-01 21:00,250.7469304,106.3933588,19,25.2,0.61,993.9,0,0,1,1.5,73.20728
2016-09-01 22:00,444.8691495,80.73277451,4,24.8,0.63,994.3,0,0,0,2.1,72.84676
2016-09-01 22:00,293.2931398,110.6914921,6,24.8,0.63,994.3,0,0,0,2.1,72.84676
2016-09-01 22:00,179.0640178,195.7570655,16,24.8,0.63,994.3,0,0,0,2.1,72.84676
2016-09-01 22:00,865.7209683,137.1077116,18,24.8,0.63,994.3,0,0,0,2.1,72.84676
2016-09-01 22:00,280.122267,106.231351,19,24.8,0.63,994.3,0,0,0,2.1,72.84676
2016-09-01 23:00,398.0637727,85.55668499,4,24.8,0.72,994.5,0,0,0,3,73.76944
2016-09-01 23:00,1069.863277,249.8529455,6,24.8,0.72,994.5,0,0,0,3,73.76944
2016-09-01 23:00,223.3290205,216.4843596,16,24.8,0.72,994.5,0,0,0,3,73.76944
2016-09-01 23:00,724.8578873,131.6709097,18,24.8,0.72,994.5,0,0,0,3,73.76944
2016-09-01 23:00,260.2450118,104.7093337,19,24.8,0.72,994.5,0,0,0,3,73.76944
2016-09-02 0:00,216.5524494,74.44046158,4,24.7,0.77,994.3,0,0,3,1.5,74.12481
2016-09-02 0:00,1546.866399,186.5448335,6,24.7,0.77,994.3,0,0,3,1.5,74.12481
2016-09-02 0:00,271.0193729,216.7048777,16,24.7,0.77,994.3,0,0,3,1.5,74.12481
2016-09-02 0:00,536.9101648,131.6907951,18,24.7,0.77,994.3,0,0,3,1.5,74.12481
2016-09-02 0:00,261.8186101,111.2826722,19,24.7,0.77,994.3,0,0,3,1.5,74.12481
2016-09-02 1:00,240.7232486,84.07619813,4,24.4,0.72,994.4,0,0,9,1,73.16032
2016-09-02 1:00,641.1407862,123.9636525,6,24.4,0.72,994.4,0,0,9,1,73.16032
2016-09-02 1:00,279.0458615,219.9125347,16,24.4,0.72,994.4,0,0,9,1,73.16032
2016-09-02 1:00,530.0037985,133.2193237,18,24.4,0.72,994.4,0,0,9,1,73.16032
2016-09-02 1:00,293.6855901,114.1222816,19,24.4,0.72,994.4,0,0,9,1,73.16032
2016-09-02 2:00,246.9692423,92.60143327,4,24,0.8,995.1,0,0,9,1,73.308
2016-09-02 2:00,175.6281709,116.4811318,6,24,0.8,995.1,0,0,9,1,73.308
2016-09-02 2:00,270.9972456,221.6931436,16,24,0.8,995.1,0,0,9,1,73.308
2016-09-02 2:00,457.8369876,134.9500811,18,24,0.8,995.1,0,0,9,1,73.308
2016-09-02 2:00,149.3832621,107.616866,19,24,0.8,995.1,0,0,9,1,73.308
2016-09-02 3:00,235.7505022,83.1758765,4,21.4,0.91,995,4.5,0,9,0.8,69.90026
2016-09-02 3:00,172.6404422,117.8092593,6,21.4,0.91,995,4.5,0,9,0.8,69.90026
2016-09-02 3:00,257.4746793,223.716711,16,21.4,0.91,995,4.5,0,9,0.8,69.90026
2016-09-02 3:00,428.0519495,129.7007535,18,21.4,0.91,995,4.5,0,9,0.8,69.90026
2016-09-02 3:00,148.0958315,108.6960841,19,21.4,0.91,995,4.5,0,9,0.8,69.90026
2016-09-02 4:00,149.8859416,87.61439585,4,21.3,0.89,995.2,0,0,9,2,69.59343
2016-09-02 4:00,330.5864026,117.8929226,6,21.3,0.89,995.2,0,0,9,2,69.59343
2016-09-02 4:00,223.1328396,217.3364883,16,21.3,0.89,995.2,0,0,9,2,69.59343
2016-09-02 4:00,430.5717232,134.1954678,18,21.3,0.89,995.2,0,0,9,2,69.59343
2016-09-02 4:00,138.3394529,106.6066847,19,21.3,0.89,995.2,0,0,9,2,69.59343
2016-09-02 5:00,112.8209173,90.17942534,4,20.9,0.86,996.1,0,0,9,2.1,68.72526
2016-09-02 5:00,159.6972647,117.2478489,6,20.9,0.86,996.1,0,0,9,2.1,68.72526
2016-09-02 5:00,233.3767939,217.1153142,16,20.9,0.86,996.1,0,0,9,2.1,68.72526
2016-09-02 5:00,577.5243846,118.0057349,18,20.9,0.86,996.1,0,0,9,2.1,68.72526
2016-09-02 5:00,136.1072731,105.9321763,19,20.9,0.86,996.1,0,0,9,2.1,68.72526
2016-09-02 6:00,116.0644173,88.01312434,4,20.6,0.86,996.6,0,0,9,2.7,68.22684
2016-09-02 6:00,152.4637133,112.4805442,6,20.6,0.86,996.6,0,0,9,2.7,68.22684
2016-09-02 6:00,221.2560547,214.0419392,16,20.6,0.86,996.6,0,0,9,2.7,68.22684
2016-09-02 6:00,950.0307311,106.5132339,18,20.6,0.86,996.6,0,0,9,2.7,68.22684
2016-09-02 6:00,135.410684,105.2899787,19,20.6,0.86,996.6,0,0,9,2.7,68.22684
